method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy,precision,recall,f1_score
Haar Cascade,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,1,1,1,2.453716516494751,0.0,0.0,0.0,0
Haar Cascade,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,1,1,0.41482067108154297,0.0,0.0,0.0,0
Haar Cascade,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,2.4864614009857178,1.0,1.0,1.0,1.0
Haar Cascade,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,2.5757548809051514,0.0,0,0.0,0
Haar Cascade,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,1,1,2.483447790145874,0.0,0.0,0.0,0
Haar Cascade,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,2.9014101028442383,0.0,0,0.0,0
Haar Cascade,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,2.9238979816436768,0.0,0,0.0,0
Haar Cascade,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,3.8018336296081543,0.0,0,0.0,0
Haar Cascade,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,3.6080739498138428,0.0,0,0.0,0
Haar Cascade,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,1,1,1,0.5332462787628174,0.0,0.0,0.0,0
Haar Cascade,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,3.443042516708374,0.0,0,0.0,0
Haar Cascade,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,2.684124231338501,0.0,0,0.0,0
Haar Cascade,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,2.6907365322113037,0.0,0,0.0,0
Haar Cascade,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,2.994677782058716,0.0,0,0.0,0
Haar Cascade,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,3.008392333984375,0.0,0,0.0,0
Haar Cascade,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,3.679356813430786,0.0,0,0.0,0
Haar Cascade,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,3.6550850868225098,0.0,0,0.0,0
Haar Cascade,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,3.3997738361358643,0.0,0,0.0,0
Haar Cascade,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,3.264244318008423,0.0,0,0.0,0
Haar Cascade,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,2.440166473388672,0.0,0,0.0,0
Haar Cascade,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,2.4788098335266113,0.0,0,0.0,0
Haar Cascade,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,2.759336471557617,0.0,0,0.0,0
Haar Cascade,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.6899938583374023,0.0,0,0.0,0
Haar Cascade,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,3.176833391189575,0.0,0,0.0,0
Haar Cascade,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,3.2766432762145996,0.0,0,0.0,0
Haar Cascade,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,0,0,1,3.1769282817840576,0.0,0,0.0,0
Haar Cascade,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,1,1,1,0.34906005859375,0.0,0.0,0.0,0
Haar Cascade,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,1,1,1.9430830478668213,0.0,0.0,0.0,0
Haar Cascade,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,1,1,1.9192469120025635,0.0,0.0,0.0,0
Haar Cascade,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,1,1,1,1.9336209297180176,0.0,0.0,0.0,0
Dlib HOG,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.9486434459686279,0.0,0,0.0,0
Dlib HOG,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.9856786727905273,0.0,0,0.0,0
Dlib HOG,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,1.0806884765625,1.0,1.0,1.0,1.0
Dlib HOG,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,1,1,1.0499789714813232,0.0,0.0,0.0,0
Dlib HOG,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,1.069990873336792,0.0,0,0.0,0
Dlib HOG,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,1.0469715595245361,0.0,0,0.0,0
Dlib HOG,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,1.0254855155944824,0.0,0,0.0,0
Dlib HOG,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.9134426116943359,0.0,0,0.0,0
Dlib HOG,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.8192667961120605,0.0,0,0.0,0
Dlib HOG,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.8903629779815674,0.0,0,0.0,0
Dlib HOG,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,0.8153748512268066,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,1,0,0,0.9370737075805664,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,1.0282258987426758,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,1.0001466274261475,0.0,0,0.0,0
Dlib HOG,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.8837335109710693,0.0,0,0.0,0
Dlib HOG,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.8462789058685303,0.0,0,0.0,0
Dlib HOG,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.9436163902282715,0.0,0,0.0,0
Dlib HOG,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.8730313777923584,0.0,0,0.0,0
Dlib HOG,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,0.9328851699829102,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,0.9154431819915771,1.0,1.0,1.0,1.0
Dlib HOG,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.8797943592071533,0.0,0,0.0,0
Dlib HOG,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.95208740234375,0.0,0,0.0,0
Dlib HOG,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.9166228771209717,0.0,0,0.0,0
Dlib HOG,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.9046661853790283,0.0,0,0.0,0
Dlib HOG,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,1.1557307243347168,0.0,0,0.0,0
Dlib HOG,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,1,1,0.910193920135498,0.0,0.0,0.0,0
Dlib HOG,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.9946491718292236,0.0,0,0.0,0
Dlib HOG,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,0.911003589630127,1.0,1.0,1.0,1.0
Dlib HOG,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,0.9359836578369141,1.0,1.0,1.0,1.0
Dlib HOG,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.9507906436920166,0.0,0,0.0,0
MTCNN,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,3.548844575881958,0.0,0,0.0,0
MTCNN,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,0,0,3.582359552383423,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,3.5525782108306885,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,0,0,3.569361925125122,1.0,1.0,1.0,1.0
MTCNN,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,0,0,3.554640531539917,1.0,1.0,1.0,1.0
MTCNN,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,1,0,0,13.879640340805054,1.0,1.0,1.0,1.0
MTCNN,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,13.72274374961853,0.0,0,0.0,0
MTCNN,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,1,0,0,13.168025016784668,1.0,1.0,1.0,1.0
MTCNN,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,1,0,0,13.653929948806763,1.0,1.0,1.0,1.0
MTCNN,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,1,1,1,13.77242636680603,0.0,0.0,0.0,0
MTCNN,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,13.872514963150024,1.0,1.0,1.0,1.0
MTCNN,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,1,0,0,13.997028112411499,1.0,1.0,1.0,1.0
MTCNN,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,2,1,0,13.907435655593872,1.0,0.5,1.0,0.6666666666666666
MTCNN,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,1,0,0,13.83254075050354,1.0,1.0,1.0,1.0
MTCNN,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,1,0,0,13.683608531951904,1.0,1.0,1.0,1.0
MTCNN,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,13.418357849121094,0.0,0,0.0,0
MTCNN,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,13.067771434783936,0.0,0,0.0,0
MTCNN,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,1,1,1,13.852295875549316,0.0,0.0,0.0,0
MTCNN,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,13.692913055419922,1.0,1.0,1.0,1.0
MTCNN,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,13.684653520584106,1.0,1.0,1.0,1.0
MTCNN,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,1,0,0,13.459924221038818,1.0,1.0,1.0,1.0
MTCNN,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,13.242309331893921,0.0,0,0.0,0
MTCNN,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,12.548428773880005,0.0,0,0.0,0
MTCNN,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,12.48819899559021,0.0,0,0.0,0
MTCNN,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,1,0,0,12.399817943572998,1.0,1.0,1.0,1.0
MTCNN,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,0,0,1.573709487915039,1.0,1.0,1.0,1.0
MTCNN,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,2.7514021396636963,0.0,0,0.0,0
MTCNN,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,2.7400307655334473,1.0,1.0,1.0,1.0
MTCNN,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,2,1,0,2.710848569869995,1.0,0.5,1.0,0.6666666666666666
MTCNN,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,2.774106502532959,0.0,0,0.0,0
Face Recognition,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.09710526466369629,0.0,0,0.0,0
Face Recognition,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.09157824516296387,0.0,0,0.0,0
Face Recognition,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,0,0,1,0.08875751495361328,0.0,0,0.0,0
Face Recognition,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,0.09556174278259277,0.0,0,0.0,0
Face Recognition,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,0.09108948707580566,0.0,0,0.0,0
Face Recognition,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,0.09694719314575195,0.0,0,0.0,0
Face Recognition,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,0.09982800483703613,0.0,0,0.0,0
Face Recognition,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.0949547290802002,0.0,0,0.0,0
Face Recognition,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.10345268249511719,0.0,0,0.0,0
Face Recognition,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.09581804275512695,0.0,0,0.0,0
Face Recognition,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,0.08854508399963379,0.0,0,0.0,0
Face Recognition,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,0.0923159122467041,0.0,0,0.0,0
Face Recognition,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.0963289737701416,0.0,0,0.0,0
Face Recognition,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,0.09161067008972168,0.0,0,0.0,0
Face Recognition,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.09190487861633301,0.0,0,0.0,0
Face Recognition,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.10048270225524902,0.0,0,0.0,0
Face Recognition,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.09201574325561523,0.0,0,0.0,0
Face Recognition,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.11588072776794434,0.0,0,0.0,0
Face Recognition,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,0.11741018295288086,0.0,0,0.0,0
Face Recognition,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,0.08135867118835449,0.0,0,0.0,0
Face Recognition,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.08285260200500488,0.0,0,0.0,0
Face Recognition,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.09175992012023926,0.0,0,0.0,0
Face Recognition,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.0892336368560791,0.0,0,0.0,0
Face Recognition,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.09388899803161621,0.0,0,0.0,0
Face Recognition,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,0.09291362762451172,0.0,0,0.0,0
Face Recognition,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,0,0,1,0.10486984252929688,0.0,0,0.0,0
Face Recognition,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.13362646102905273,0.0,0,0.0,0
Face Recognition,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,0,0,1,0.10486245155334473,0.0,0,0.0,0
Face Recognition,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.10397624969482422,0.0,0,0.0,0
Face Recognition,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.09600591659545898,0.0,0,0.0,0
Haar Cascade,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,0,0,1,0.4170238971710205,0.0,0,0.0,0
Haar Cascade,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.4114387035369873,0.0,0,0.0,0
Haar Cascade,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.4069056510925293,0.0,0,0.0,0
Haar Cascade,webcam,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.4219667911529541,0.0,0,0.0,0
Haar Cascade,webcam,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.07174324989318848,0.0,0,0.0,0
Haar Cascade,webcam,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,1,1,1,0.7250306606292725,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,1,1,0.6547086238861084,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,0,0,1,0.11650514602661133,0.0,0,0.0,0
Haar Cascade,webcam,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.694887638092041,0.0,0,0.0,0
Haar Cascade,webcam,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.5947246551513672,0.0,0,0.0,0
Haar Cascade,webcam,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,1,1,1,0.7424018383026123,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,1,1,1,0.6845095157623291,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,1,1,1,0.706207275390625,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,1,1,1,0.6257779598236084,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,1,1,1,0.581899881362915,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,1,1,1,0.749936580657959,0.0,0.0,0.0,0
Haar Cascade,webcam,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,1,1,0.7304356098175049,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,1,1,1,0.15262603759765625,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,1,1,1,0.5726456642150879,0.0,0.0,0.0,0
Haar Cascade,webcam,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,1,1,1,0.56878662109375,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,1,1,1,0.6638412475585938,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,1,1,0.6521649360656738,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,1,1,0.5140707492828369,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,0,0,1,0.16279840469360352,0.0,0,0.0,0
Haar Cascade,webcam,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,1,1,1,0.5719561576843262,0.0,0.0,0.0,0
Haar Cascade,webcam,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,1,1,1,0.4759364128112793,0.0,0.0,0.0,0
Haar Cascade,webcam,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,1,1,1,0.07874798774719238,0.0,0.0,0.0,0
Haar Cascade,webcam,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,0,0,1,0.4576277732849121,0.0,0,0.0,0
Haar Cascade,webcam,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,0,0,1,0.4682943820953369,0.0,0,0.0,0
Haar Cascade,webcam,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.42927122116088867,0.0,0,0.0,0
Dlib HOG,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,0,0,0.3359181880950928,1.0,1.0,1.0,1.0
Dlib HOG,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.23473620414733887,0.0,0,0.0,0
Dlib HOG,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.24518704414367676,0.0,0,0.0,0
Dlib HOG,webcam,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.32117772102355957,0.0,0,0.0,0
Dlib HOG,webcam,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.3410768508911133,0.0,0,0.0,0
Dlib HOG,webcam,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.29510021209716797,0.0,0,0.0,0
Dlib HOG,webcam,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,0.27262187004089355,1.0,1.0,1.0,1.0
Dlib HOG,webcam,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.30289125442504883,1.0,1.0,1.0,1.0
Dlib HOG,webcam,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.3049921989440918,0.0,0,0.0,0
Dlib HOG,webcam,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.3592650890350342,0.0,0,0.0,0
Dlib HOG,webcam,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.2799336910247803,0.0,0,0.0,0
Dlib HOG,webcam,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.30010414123535156,0.0,0,0.0,0
