method,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Face Recognition,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.07255172729492188,0.0
Haar Cascade,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,0,0,1,0.04023122787475586,0.0
Haar Cascade,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,1,0,0,0.03201103210449219,1.0
Haar Cascade,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.03299427032470703,0.0
Haar Cascade,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,1,1,1,0.03658652305603027,0.0
Haar Cascade,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.03199601173400879,0.0
Haar Cascade,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.016326904296875,0.0
Haar Cascade,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,0,0,1,0.03197669982910156,0.0
Haar Cascade,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.03103470802307129,1.0
Haar Cascade,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.037199974060058594,0.0
Haar Cascade,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.03200054168701172,0.0
Haar Cascade,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.02786993980407715,0.0
Haar Cascade,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.0245821475982666,0.0
Haar Cascade,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.0239717960357666,0.0
Haar Cascade,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.03220558166503906,0.0
Haar Cascade,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.0316777229309082,0.0
Haar Cascade,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,0,0,1,0.032059669494628906,0.0
Haar Cascade,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,1,1,0.032468318939208984,0.0
Haar Cascade,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.02886676788330078,0.0
Haar Cascade,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.03212118148803711,0.0
Haar Cascade,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.03218650817871094,0.0
Haar Cascade,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.03200840950012207,0.0
Haar Cascade,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,0.032021284103393555,1.0
Haar Cascade,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,0.03754281997680664,1.0
Haar Cascade,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.03196001052856445,0.0
Haar Cascade,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.02429962158203125,0.0
Haar Cascade,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,1,1,1,0.03202462196350098,0.0
Haar Cascade,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,1,1,1,0.03216433525085449,0.0
Haar Cascade,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,0.032396793365478516,1.0
Haar Cascade,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,0.03247475624084473,1.0
Haar Cascade,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.03240633010864258,0.0
Dlib HOG,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,0,0,0.2409071922302246,1.0
Dlib HOG,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.2872655391693115,0.0
Dlib HOG,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.29125118255615234,0.0
Dlib HOG,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.2808570861816406,0.0
Dlib HOG,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.2740213871002197,0.0
Dlib HOG,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.2736546993255615,0.0
Dlib HOG,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,0.2656114101409912,1.0
Dlib HOG,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.2975783348083496,1.0
Dlib HOG,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.29767441749572754,0.0
Dlib HOG,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.2889368534088135,0.0
Dlib HOG,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.28902173042297363,0.0
Dlib HOG,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.30503296852111816,0.0
Dlib HOG,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.2619798183441162,0.0
Dlib HOG,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.27323341369628906,0.0
Dlib HOG,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.25781679153442383,0.0
Dlib HOG,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,0,0,1,0.25789809226989746,0.0
Dlib HOG,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,0,0,0.2924835681915283,1.0
Dlib HOG,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.27555179595947266,0.0
Dlib HOG,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.2806124687194824,0.0
Dlib HOG,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.3055996894836426,0.0
Dlib HOG,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.29495763778686523,0.0
Dlib HOG,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,0.297133207321167,1.0
Dlib HOG,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,0.2649867534637451,1.0
Dlib HOG,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.2771003246307373,0.0
Dlib HOG,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.27138328552246094,0.0
Dlib HOG,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,0,0,1,0.26677751541137695,0.0
Dlib HOG,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,0,0,1,0.2773628234863281,0.0
Dlib HOG,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,0.24729204177856445,1.0
Dlib HOG,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,0.27804017066955566,1.0
Dlib HOG,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.29793381690979004,0.0
FaceNet,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,0,0,2.4155516624450684,1.0
FaceNet,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,1,0,0,2.244443655014038,1.0
FaceNet,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,2,1,0,2.1380746364593506,1.0
FaceNet,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,1,1,1,2.139739751815796,0.0
FaceNet,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,2,1,0,2.3257663249969482,1.0
FaceNet,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,2.2311038970947266,0.0
FaceNet,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,2.1505322456359863,1.0
FaceNet,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,2.264918804168701,1.0
FaceNet,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,1,0,0,2.222323179244995,1.0
FaceNet,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,1,0,0,2.5009517669677734,1.0
FaceNet,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,2.6092166900634766,0.0
FaceNet,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,2.2978415489196777,0.0
FaceNet,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,2.693732738494873,0.0
FaceNet,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,1,1,1,2.3376643657684326,0.0
FaceNet,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,1,0,0,2.4977569580078125,1.0
FaceNet,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,1,0,0,2.354537010192871,1.0
FaceNet,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,2,1,0,2.3808863162994385,1.0
FaceNet,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,1,0,0,2.2120721340179443,1.0
FaceNet,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,2.707490921020508,0.0
FaceNet,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,2.823007822036743,0.0
FaceNet,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,2.3006420135498047,0.0
FaceNet,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,2.3354010581970215,1.0
FaceNet,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,2.1333653926849365,1.0
FaceNet,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,2,1,0,2.305987596511841,1.0
FaceNet,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,2.4231698513031006,0.0
FaceNet,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,0,0,1,2.363157033920288,0.0
FaceNet,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,2,1,0,2.303309202194214,1.0
FaceNet,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,2.4229111671447754,1.0
FaceNet,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,2.5507445335388184,1.0
FaceNet,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,2.272460460662842,0.0
Face Recognition,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,1,1,0.022063016891479492,0.0
Face Recognition,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.023996829986572266,0.0
Face Recognition,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.029277563095092773,0.0
Face Recognition,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.024085044860839844,0.0
Face Recognition,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.02399754524230957,0.0
Face Recognition,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.028035402297973633,0.0
Face Recognition,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,1,1,0.024095773696899414,0.0
Face Recognition,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,1,1,0016515493392944336,0.0
Face Recognition,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.024131298065185547,0.0
Face Recognition,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.02405834197998047,0.0
Face Recognition,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.015034914016723633,0.0
Face Recognition,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.024007558822631836,0.0
Face Recognition,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.024152517318725586,0.0
Face Recognition,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.021053791046142578,0.0
Face Recognition,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.024033308029174805,0.0
Face Recognition,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,0,0,1,0.023998022079467773,0.0
Face Recognition,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,1,1,0.016867876052856445,0.0
Face Recognition,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.024076223373413086,0.0
Face Recognition,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.02398395538330078,0.0
Face Recognition,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.02425074577331543,0.0
Face Recognition,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.024109840393066406,0.0
Face Recognition,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,1,1,0.023996591567993164,0.0
Face Recognition,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,1,1,0.024235248565673828,0.0
Face Recognition,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.02407550811767578,0.0
Face Recognition,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.032294273376464844,0.0
Face Recognition,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,0,0,1,0.027889013290405273,0.0
Face Recognition,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,0,0,1,0.027495384216308594,0.0
Face Recognition,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,1,1,0.02298426628112793,0.0
Face Recognition,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,1,1,0.02399611473083496,0.0
Face Recognition,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.014400243759155273,0.0
